Citrobacter braakii,,Acinetobacter haemolyticus,,,Pseudomonas fluorescens,Staphylococcus caprae,Enterococcus sp.,,,,,Streptococcus oralis,,Alistipes onderdonkii onderdonkii,,,Aeromonas jandaei,Bacillus fusiformis,,Brevibacterium casei,,,Kingella kingae,,Lactobacillus confusa,,,,,,Pasteurella lymphangitidis,Pediococcus siamensis,,Vibrio furnissii,Brucella haematophila,
Citrobacter cronae,,Acinetobacter johnsonii,,,Pseudomonas fulva,Staphylococcus cohnii,,,,,,Streptococcus peroris,,Alistipes shahii,,,Aeromonas punctata caviae,Bacillus galactophilus,,Brevibacterium fermentans,,,Kingella orale,,Lactobacillus confusus,,,,,,Pasteurella multocida gallicida,Pediococcus stilesii,,Vibrio harveyi,Brucella inopinata,
Citrobacter diversus,,Acinetobacter junii,,,Pseudomonas gladioli,Staphylococcus cohnii cohnii,,,,,,Streptococcus pseudopneumoniae,,Alloprevotella rava,,,Aeromonas punctata punctata,Bacillus glucanolyticus,,Brevibacterium iodinum,,,Kingella oralis,,Lactobacillus delbrueckii bulgaricus,,,,,,Pasteurella multocida multocida,Pediococcus sp.,,Vibrio hollisae,Brucella intermedia,
Citrobacter farmeri,,Acinetobacter lwoffii,,,Pseudomonas glumae,Staphylococcus cohnii urealyticum,,,,,,Streptococcus sinensis,,Alloprevotella tannerae,,,Aeromonas salmonicida achromogenes,Bacillus idriensis,,Brevibacterium luteolum,,,Kingella potus,,Lactobacillus delbrueckii delbrueckii,,,,,,Pasteurella multocida septica,,,Vibrio injenensis,Brucella melitensis,
Citrobacter freundii,,Acinetobacter nosocomialis,,,Pseudomonas huttiensis,Staphylococcus cohnii urealyticus,,,,,,Streptococcus sanguinis,,Anaerobiospirillum succiniciproducens,,,Aeromonas salmonicida masoucida,Bacillus infantis,,Brevibacterium lutescens,,,,,Lactobacillus delbrueckii indicus,,,,,,Pasteurella pneumotropica,,,Vibrio injensis,Brucella microti,
Citrobacter koseri,,Acinetobacter parvus,,,Pseudomonas japonica,Staphylococcus condimenti,,,,,,Streptococcus parasanguinis,,Anaerobiospirillum thomasii,,,Aeromonas salmonicida pectinolytica,Bacillus licheniforme,,Brevibacterium lyticum,,,,,Lactobacillus delbrueckii jakobsenii,,,,,,Pasteurella stomatis,,,Vibrio metschnikovii,Brucella neotomae,
Citrobacter malonatica,,Acinetobacter pittii,,,Pseudomonas juntendi,Staphylococcus cornubiensis,,,,,,Streptococcus gordonii,,Anaerococcus degeneri,,,Aeromonas salmonicida salmonicida,Bacillus licheniformis,,Brevibacterium massiliense,,,,,Lactobacillus delbrueckii lactis,,,,,,Pasteurella ureae,,,Vibrio mimicus,Brucella ovis,
Citrobacter pasteurii,,Acinetobacter radioresistens,,,Pseudomonas kunmingensis,Staphylococcus delphini,,,,,,Streptococcus equinus,,Anaerococcus degenerii,,,Aeromonas salmonicida smithia,Bacillus macerans,,Brevibacterium otitidis,,,,,Lactobacillus delbrueckii sunkii,,,,,,Pasteurella multocida,,,Vibrio parahaemolyticus,Brucella pseudogrignonensis,
Citrobacter rodentium,,Acinetobacter schindleri,,,Pseudomonas luteola,Staphylococcus epidermidis,,,,,,Streptococcus gallolyticus,,Anaerococcus lactolyticus,,,Aeromonas sanarellii,Bacillus massiliensis,,Brevibacterium paucivorans,,,,,Lactobacillus gasseri,,,,,,Pasteurella sp.,,,Vibrio succinogenes,Brucella suis,
Citrobacter sedlakii,,Acinetobacter seifertii,,,Pseudomonas mallei,Staphylococcus equorum,,,,,,Streptococcus bovis,,Anaerococcus murdochii,,,Aeromonas schubertii,Bacillus mycoides,,Brevibacterium ravenspurgense,,,,,Lactobacillus jensenii,,,,,,,,,Vibrio trachuri,Brucella tritici,
Citrobacter werkmanii,,Acinetobacter silvestris,,,Pseudomonas maltophilia,Staphylococcus equorum equorum,,,,,,Streptococcus infantarius,,Anaerococcus nagyae,,,Aeromonas sobria,Bacillus polymyxa,,Brevibacterium sanguinis,,,,,Lactobacillus minutus,,,,,,,,,Vibrio vulnificus,Brucella vulpis,
